product_name,total_units_sold,total_revenue
Canon imageCLASS 2200 Advanced Copier,11,33879.89
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,14,12398.26
Martin Yale Chadless Opener Electric Letter Opener,16,12113.6
GBC DocuBind TL300 Electric Binding System,19,10179.63
Samsung Galaxy Mega 6.3,25,8938.25
Hewlett Packard LaserJet 3310 Copier,18,8924.039999999999
Cubify CubeX 3D Printer Triple Head Print,4,7999.96
HON 5400 Series Task Chairs for Big and Tall,14,7850.919999999999
Lexmark MX611dhe Monochrome Laser Printer,7,6544.93
Ibico EPK-21 Electric Binding System,5,6106.1
